,CMPSI_NM,CMPSI_SCTIN_NM,소재지전체주소,상세영업상태명,lat,lon,kakao_score,지역
0,(주)디노담양힐링파크 지점,"일반야영장,카라반,글램핑",전라남도 담양군 봉산면 기곡리 836-2번지,영업중,35.27,126.96,0,전라남도
1,(주)쉐르빌리안티티,글램핑,강원도 홍천군 서면 모곡리 491-46번지,영업중,37.7,127.6,0,강원도
2,(주)쉐르빌리안티티,글램핑,강원도 홍천군 서면 모곡리 547번지,영업중,37.7,127.6,0,강원도
3,(주)아웃오브파크,카라반,강원도 춘천시 남면 관천리 383,영업중,37.73,127.51,3.5,강원도
4,(주)아웃오브파크,카라반,강원도 춘천시 남면 관천리 356-12,영업중,37.73,127.51,3.5,강원도
5,(주)어반슬로우시티,"자동차야영장,글램핑",강원도 춘천시 남면 관천리 383,영업중,37.73,127.51,4.7,강원도
6,(주)어반슬로우시티,"자동차야영장,글램핑",강원도 춘천시 남면 관천리 356-12,영업중,37.73,127.51,4.7,강원도
7,주식회사 캠프포지션,일반야영장,강원도 춘천시 남면 관천리 383,영업중,37.73,127.51,0,강원도
8,주식회사 캠프포지션,일반야영장,강원도 춘천시 남면 관천리 356-12,영업중,37.73,127.51,0,강원도
9,쥴리어스지점 휴토피아,글램핑,강원도 홍천군 서면 어유포리 282-6,영업중,37.7,127.69,5.0,강원도
10,(주)자연인,"일반야영장,글램핑",제주특별자치도 제주시 아라일동 2082-1,영업중,33.47,126.54,0.0,제주특별자치도
11,(주)태평소금 천일염 힐링캠프,일반야영장,전라남도 신안군 증도면 대초리 1648-21번지,영업중,35.0,126.18,0,전라남도
12,505펜션&캠핑(오공오),일반야영장,충청남도 공주시 사곡면 호계리 594-9번지,영업중,36.5,127.02,5.0,충청남도
13,80 SS 오토캠핑장,"일반야영장,자동차야영장,글램핑",경상북도 군위군 부계면 남산리 1138-4번지,영업중,36.03,128.63,0,경상북도
14,A&J오토캠핑장,자동차야영장,강원도 원주시 지정면 안창리 산 56-3번지,영업중,37.35,127.81,0.0,강원도
15,Camp 1950 by 민들레울,"일반야영장,글램핑",경상북도 김천시 대덕면 문의리 240번지,영업중,35.88,127.94,0,경상북도
16,CLUB 596,"일반야영장,글램핑",충청남도 태안군 남면 몽산리 596,영업중,36.68,126.27,4.7,충청남도
17,DMZ 마루캠핑,자동차야영장,경기도 연천군 중면 삼곶리 317-3번지,영업중,38.13,127.02,0.0,경기도
18,DMZ캠핑장,자동차야영장,강원도 철원군 철원읍 율이리 217번지,영업중,38.22,127.18,0.0,강원도
19,Najost Camp,일반야영장,강원도 영월군 김삿갓면 와석리 729-6 외 4필지,영업중,37.11,128.6,0,강원도
20,히어리캠핑장,"일반야영장,자동차야영장,카라반,글램핑",강원도 영월군 김삿갓면 와석리 729-6 외 4필지,영업중,37.11,128.6,2.8,강원도
21,THATS CAMPING 횡성자연휴양림야영장,"일반야영장,글램핑",강원도 횡성군 갑천면 포동리 산 40-2,영업중,37.54,128.11,0,강원도
22,The Star 오토캠핑장,"일반야영장,자동차야영장,카라반",전라남도 여수시 돌산읍 우두리 334-14번지,영업중,34.72,127.78,2.1,전라남도
23,VIP레저타운,자동차야영장,강원도 원주시 지정면 판대리 643-1,휴업,37.39,127.78,0,강원도
24,W글램핑,"일반야영장,글램핑",경상남도 산청군 산청읍 내리 741,영업중,35.39,127.89,0.0,경상남도
25,㈜제주글램핑,일반야영장,제주특별자치도 제주시 구좌읍 덕천리 1289,폐업,33.48,126.75,0,제주특별자치도
26,가람관광농원,일반야영장,경상남도 합천군 봉산면 계산리 산 1620,영업중,35.59,128.06,2.0,경상남도
27,가래골농원 캠핑장,일반야영장,"경기도 포천시 창수면 추동리 812번지 외 2필지(812-1, 812-2)",영업중,37.99,127.16,1.0,경기도
28,알프스농원 캠핑장,일반야영장,"경기도 포천시 창수면 추동리 812번지 외 2필지(812-1, 812-2)",영업중,37.99,127.16,0.0,경기도
29,추동캠프,일반야영장,"경기도 포천시 창수면 추동리 812번지 외 2필지(812-1, 812-2)",영업중,37.99,127.16,5.0,경기도
30,가루실캠프,일반야영장,충청남도 예산군 덕산면 둔리 525-34번지,영업중,36.66,126.64,4.0,충청남도
31,가마실캠핑장,일반야영장,충청북도 제천시 자작동 242번지,영업중,37.12,128.3,0.0,충청북도
32,가산산성 야영장,일반야영장,경상북도 칠곡군 동명면 득명리 113-1번지,영업중,36.02,128.62,2.0,경상북도
33,가야랜드달빛야영장,일반야영장,경상남도 김해시 삼방동 826,영업중,35.26,128.91,2.1,경상남도
34,가우도카라반펜션,"일반야영장,카라반",전라남도 강진군 대구면 저두리 364,영업중,34.53,126.79,4.0,전라남도
35,가족쉼터,자동차야영장,경기도 남양주시 수동면 수산리 591-2,휴업,37.75,127.27,0.0,경기도
36,가족쉼터,자동차야영장,경기도 남양주시 수동면 내방리 236-2번지,영업중,37.75,127.27,0.0,경기도
